Species,GrowthForm,amax,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Note
bonamia trichantha,Liana,23.6,NA,15.38,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Sun condition
bonamia trichantha,Liana,7.2,NA,17.54,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Shade condition
combretum fruticosum,Liana,26.5,,,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Sun condition
combretum fruticosum,Liana,,0.54,14.71,1800,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Sun condition
combretum fruticosum,Liana,8.6,,,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Shade condition
combretum fruticosum,Liana,,0.54,23.26,1800,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Shade condition
brosimum utile,Tree,6.72,0.52,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
chrysophyllum cainito,Tree,6.86,0.78,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
cnestidium rufescens,Liana,5.85,0.77,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
cojoba rufescens,Tree,7.29,0.74,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
connarus panamensis,Liana,6.84,0.7,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
hymenaea courbaril,Tree,5.19,0.68,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
inga marginata,Tree,10.31,0.52,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
inga multijuga,Tree,6.59,0.51,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
lacmellea panamensis,Tree,5.86,0.52,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
licania hypoleuca,Tree,5.5,0.71,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
machaerium microphyllum,Liana,9.45,0.68,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
manilkara bidentata,Tree,4.22,0.68,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
ormosia macrocalyx,Tree,8.41,0.5,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
oxandra panamensis,Tree,3.86,0.45,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
peritassa pruinosa,Liana,4.01,0.66,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
pouteria reticulate,Tree,4.51,0.61,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
pterocarpus rohrii,Tree,3.56,0.47,10.47128548,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
tocoyena pittieri,Tree,4.34,0.61,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
kielmeyera coriacea,Tree,11.5,0.455,7.38,1500,21,Bucci et al. 2004,Tropical seasonal forest,-47.88333333,-15.93333333,
ouratea hexasperma,Tree,9.7,0.46,7.64,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,
qualea parviflora,Tree,10.4,0.48,6,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,
schefflera macrocarpa,Tree,16.3,0.56,3.76,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,
baccaurea ramiflora,Tree,9.87,NA,11.35,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
barringtonia macrostachya,Tree,10.56,NA,7.75,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
bauhinia glauca,Liana,6.62,NA,17.92,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
bauhinia yunnanensis,Liana,8.67,NA,16.18,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
byttneria aspera,Liana,11.95,NA,21.74,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
carallia lanceaefolia,Tree,6.58,NA,9.88,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
castanopsis indica,Tree,11.34,NA,10.47,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
celastrus paniculatus,Liana,11.13,NA,10.8,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
combretum latifolium,Tree,12.12,NA,7.43,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus auriculata,Tree,7.89,NA,13.11,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus callosa,Tree,17.5,NA,9.61,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus cyrtophylla,Tree,9.69,NA,19.92,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus hirta,Tree,11.88,NA,11.9,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus subulata,Liana,7.72,NA,14.56,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus superba,Tree,10.32,NA,12.27,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
fissistigma polyanthoides,Liana,11.45,NA,14.33,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
fissistigma polyanthum,Liana,10.4,NA,17.89,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
gnetum parvifolium,Liana,10.23,NA,13.76,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
leea crispa,Tree,7.76,NA,8.11,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
lepisanthes senegalensis,Tree,6.05,NA,16.34,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
litsea panamonja,Tree,9.58,NA,10.81,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
lodes covalis,Liana,9.17,NA,12.63,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
mayodendron igneum,Tree,8.08,NA,12.72,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
millettia dielsiana,Liana,10.45,NA,15.72,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
millettia oosperma,Liana,12.65,NA,9.32,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
securidaca inappendiculata,Liana,9.44,NA,11.88,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
shorea chinensis,Tree,9.07,NA,13.64,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
syzygium latilimbum,Tree,11.65,NA,8.68,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
tetrastigma planicaulum,Liana,11.45,NA,13.74,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
tinomiscium tokinesis,Liana,9.95,NA,16.75,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
uncaria macrophylla,Liana,9.08,NA,9,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
uncaria rhynchophylla,Liana,8.46,NA,8.7,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ventilago calyculata,Liana,10,NA,15.8,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ziziphus attopensis,Liana,10.69,NA,15.34,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ziziphus attopensis,Liana,3.97,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.7666667,21.9,
ventilago calyculata,Liana,4.88,0.48,12.857,1500,22.9,Chen et al. 2014,Tropical rainforest,101.7666667,21.9,
acacia pennata,Liana,8.55,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
acacia pennata,Liana,6.78,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
acacia pennata,Liana,13.9,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
acacia pennata,Liana,7.28,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
alphonsea monogyna,Tree,3.12,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
alphonsea monogyna,Tree,6.47,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
baccaurea ramilflora,Tree,4.96,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
baccaurea ramilflora,Tree,5.26,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
barringtonia fusicarpa,Tree,4.65,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
barringtonia fusicarpa,Tree,6.44,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
bauhinia acuminata,Tree,6.26,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
bauhinia acuminata,Tree,8.83,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
bauhinia aurea,Liana,3.95,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
bauhinia aurea,Liana,7.92,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
bauhinia tenuiflora,Liana,4.9,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
bauhinia tenuiflora,Liana,2.79,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
bauhinia tenuiflora,Liana,12.56,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
bauhinia tenuiflora,Liana,8.81,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
byttneria integrifolia,Liana,12.22,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
byttneria integrifolia,Liana,5.1,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
byttneria integrifolia,Liana,10.24,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
carallia diplopetala,Tree,3.38,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
carallia diplopetala,Tree,6.81,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
castanopsis indica,Tree,3.22,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
castanopsis indica,Tree,6.21,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
castanopsis mekongensis,Tree,3.46,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
castanopsis mekongensis,Tree,6.56,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
celastrus virens,Liana,3.02,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
celastrus virens,Liana,6.72,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
celtis wightii,Tree,2.65,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
celtis wightii,Tree,6.95,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
cinnamomum bejolghota,Tree,1.72,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
cinnamomum bejolghota,Tree,6.23,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
cipadessa baccifera,Tree,6.73,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
cipadessa baccifera,Tree,10.47,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
cleidion brevipetiolatum,Tree,3.22,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
cleidion brevipetiolatum,Tree,6.43,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
cleistanthus sumatranus,Tree,3,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
cleistanthus sumatranus,Tree,7.43,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
combretum latifolium,Liana,8.86,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
croton crassifolius,Tree,7,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
dregea volubilis,Liana,13.41,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
dregea volubilis,Liana,12.31,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
drypetes hoaensis,Tree,2.09,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
drypetes hoaensis,Tree,5.48,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
elaeocarpus austroyunnanensis,Tree,2.34,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
elaeocarpus austroyunnanensis,Tree,5.71,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
gnetum montanum,Liana,6.48,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
gnetum montanum,Liana,6.04,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
gnetum montanum,Liana,10.98,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
gnetum montanum,Liana,7.44,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
knema linifolia,Tree,1.13,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
knema linifolia,Tree,6.33,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
lagerstroemia tomentosa,Tree,8.2,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
lasiococca comberi,Tree,3.25,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
lasiococca comberi,Tree,7.4,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
loeseneriella yunnanensis,Liana,6.45,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
loeseneriella yunnanensis,Liana,8.17,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
mayodendron igneum,Tree,4.99,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
mayodendron igneum,Tree,9.34,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
mezzettiopsis creaghii,Tree,3.57,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
mezzettiopsis creaghii,Tree,6.75,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
millettia dielsiana,Liana,5.28,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
millettia dielsiana,Liana,6.85,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
millettia laptobotrya,Tree,3.83,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
millettia laptobotrya,Tree,8.7,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
millettia pachycarpa,Liana,5.67,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
millettia pachycarpa,Liana,12.05,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
mitrephora thorelii,Tree,3.71,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
mitrephora thorelii,Tree,6.17,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
mucuna interrupta,Liana,8.06,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
mucuna interrupta,Liana,8.36,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
phoebe lanceolata,Tree,3.28,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
phoebe lanceolata,Tree,2.88,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
phoebe lanceolata,Tree,7.28,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
phoebe lanceolata,Tree,5.94,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
polyalthia cheliensis,Tree,3.59,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
polyalthia cheliensis,Tree,5.53,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
pometia tomentosa,Tree,1.9,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
pometia tomentosa,Tree,9.33,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
pristimera arborea,Liana,7.74,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
pristimera arborea,Liana,9.46,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
pseuduvaria indochinensis,Tree,2.16,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
pseuduvaria indochinensis,Tree,5.9,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
quisqualis caudata,Liana,5.91,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
quisqualis caudata,Liana,7.49,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
sapium baccatum,Tree,2.97,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
sapium baccatum,Tree,8.45,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
strychnos wallichiana,Liana,2.68,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
strychnos wallichiana,Liana,7.09,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
syzygium oblatum,Tree,3.97,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
syzygium oblatum,Tree,7.9,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
tetrameles nudiflora,Tree,12.03,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
tetrastigma xishuangbannaense,Liana,2.82,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Dry season
tetrastigma xishuangbannaense,Liana,9.54,NA,NA,1560,21.7,Chen et al. 2015,Tropical rainforest,101.7666667,21.9,*Wet season
