Species,Type,Tree,Leaf,Q10,SLA
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,5,2.55,10.245
COMF,liana,2,5,2.55,10.245
COMF,liana,2,5,2.55,10.245
COMF,liana,2,5,2.55,10.245
COMF,liana,2,5,2.55,10.245
GOUL,liana,1,2,2.27,18.84
GOUL,liana,1,2,2.27,18.84
GOUL,liana,1,2,2.27,18.84
GOUL,liana,1,2,2.27,18.84
GOUL,liana,1,2,2.27,18.84
GOUL,liana,1,3,2.12,24.2
GOUL,liana,1,3,2.12,24.2
GOUL,liana,1,3,2.12,24.2
GOUL,liana,1,3,2.12,24.2
GOUL,liana,1,3,2.12,24.2
GOUL,liana,2,4,2.36,19.65
GOUL,liana,2,4,2.36,19.65
GOUL,liana,2,4,2.36,19.65
GOUL,liana,2,4,2.36,19.65
GOUL,liana,2,4,2.36,19.65
GOUL,liana,2,5,2.45,23.87
GOUL,liana,2,5,2.45,23.87
GOUL,liana,2,5,2.45,23.87
GOUL,liana,2,5,2.45,23.87
GOUL,liana,2,5,2.45,23.87
MIKL,liana,1,1,2.04,18.01
MIKL,liana,1,1,2.06,18.01
MIKL,liana,1,1,2.04,18.01
MIKL,liana,1,1,2.04,18.01
MIKL,liana,1,1,2.04,18.01
MIKL,liana,1,1,2.04,18.01
MIKL,liana,1,2,2.06,13.9
MIKL,liana,1,2,2.06,13.9
MIKL,liana,1,2,2.06,13.9
MIKL,liana,1,2,2.06,13.9
MIKL,liana,1,2,2.06,13.9
MIKL,liana,2,3,1.68,16.3
MIKL,liana,2,3,1.68,16.3
MIKL,liana,2,3,1.68,16.3
MIKL,liana,2,3,1.68,16.3
MIKL,liana,2,3,1.68,16.3
ODOM,liana,1,1,2.59,13.176
ODOM,liana,1,1,2.59,13.176
ODOM,liana,1,1,2.59,13.176
ODOM,liana,1,1,2.59,13.176
ODOM,liana,1,1,2.59,13.176
ODOM,liana,2,2,2.74,14.381
ODOM,liana,2,2,2.74,14.381
ODOM,liana,2,2,2.74,14.381
ODOM,liana,2,2,2.74,14.381
ODOM,liana,2,2,2.74,14.381
ODOM,liana,3,3,2.44,13.277
ODOM,liana,3,3,2.44,13.277
ODOM,liana,3,3,2.44,13.277
ODOM,liana,3,3,2.44,13.277
ODOM,liana,3,3,2.44,13.277
PASV,liana,1,1,2.23,13.55
PASV,liana,1,1,2.23,13.55
PASV,liana,1,1,2.23,13.55
PASV,liana,1,1,2.23,13.55
PASV,liana,1,1,2.23,13.55
PASV,liana,1,2,2.4,16.494
PASV,liana,1,2,2.4,16.494
PASV,liana,1,2,2.4,16.494
PASV,liana,1,2,2.4,16.494
PASV,liana,1,2,2.4,16.494
PASV,liana,2,3,2.48,18.851
PASV,liana,2,3,2.48,18.851
PASV,liana,2,3,2.48,18.851
PASV,liana,2,3,2.48,18.851
PASV,liana,2,3,2.48,18.851
PHRC,liana,1,1,2.61,9.7
PHRC,liana,1,1,2.61,9.7
PHRC,liana,1,1,2.61,9.7
PHRC,liana,1,1,2.61,9.7
PHRC,liana,1,1,2.61,9.7
PHRC,liana,1,2,2.37,8.96
PHRC,liana,1,2,2.37,8.96
PHRC,liana,1,2,2.37,8.96
PHRC,liana,1,2,2.37,8.96
PHRC,liana,1,2,2.37,8.96
PHRC,liana,1,3,2.62,8.57
PHRC,liana,1,3,2.62,8.57
PHRC,liana,1,3,2.62,8.57
PHRC,liana,1,3,2.62,8.57
PHRC,liana,1,3,2.62,8.57
PITC,liana,1,1,2.65,12.44
PITC,liana,1,1,2.65,12.44
PITC,liana,1,1,2.65,12.44
PITC,liana,1,1,2.65,12.44
PITC,liana,1,1,2.65,12.44
PITC,liana,1,1,2.65,12.44
PITC,liana,2,2,2.32,13.42
PITC,liana,2,2,2.32,13.42
PITC,liana,2,2,2.32,13.42
PITC,liana,2,2,2.32,13.42
PITC,liana,2,2,2.32,13.42
PITC,liana,3,3,2.69,16.12
PITC,liana,3,3,2.69,16.12
PITC,liana,3,3,2.69,16.12
PITC,liana,3,3,2.69,16.12
PITC,liana,3,3,2.69,16.12
SERM,liana,1,1,2.86,15.5
SERM,liana,1,1,2.86,15.5
SERM,liana,1,1,2.86,15.5
SERM,liana,1,1,2.86,15.5
SERM,liana,1,1,2.86,15.5
SERM,liana,1,2,2.54,12.92
SERM,liana,1,2,2.54,12.92
SERM,liana,1,2,2.54,12.92
SERM,liana,1,2,2.54,12.92
SERM,liana,1,2,2.54,12.92
SERM,liana,2,3,2.44,14.66
SERM,liana,2,3,2.44,14.66
SERM,liana,2,3,2.44,14.66
SERM,liana,2,3,2.44,14.66
SERM,liana,2,3,2.44,14.66
SERM,liana,2,4,2.39,13.74
SERM,liana,2,4,2.39,13.74
SERM,liana,2,4,2.39,13.74
SERM,liana,2,4,2.39,13.74
SERM,liana,2,4,2.39,13.74
STIH,liana,1,1,2.41,15.6
STIH,liana,1,1,2.41,15.6
STIH,liana,1,1,2.41,15.6
STIH,liana,1,1,2.41,15.6
STIH,liana,1,1,2.41,15.6
STIH,liana,2,2,2.4,13.79
STIH,liana,2,2,2.4,13.79
STIH,liana,2,2,2.4,13.79
STIH,liana,2,2,2.4,13.79
STIH,liana,2,2,2.4,13.79
STIH,liana,2,3,2.28,17.87
STIH,liana,2,3,2.28,17.87
STIH,liana,2,3,2.28,17.87
STIH,liana,2,3,2.28,17.87
STIH,liana,2,3,2.28,17.87
STIH,liana,2,4,2.64,13.19
STIH,liana,2,4,2.64,13.19
STIH,liana,2,4,2.64,13.19
STIH,liana,2,4,2.64,13.19
STIH,liana,2,4,2.64,13.19
STIH,liana,2,4,2.64,13.19
VITT,liana,1,1,2.26,16.21
VITT,liana,1,1,2.26,16.21
VITT,liana,1,1,2.26,16.21
VITT,liana,1,1,2.26,16.21
VITT,liana,1,1,2.26,16.21
VITT,liana,1,1,2.26,16.21
VITT,liana,1,1,2.26,16.21
VITT,liana,1,2,2.38,17.68
VITT,liana,1,2,2.38,17.68
VITT,liana,1,2,2.38,17.68
VITT,liana,1,2,2.38,17.68
VITT,liana,1,2,2.38,17.68
VITT,liana,1,2,2.38,17.68
VITT,liana,1,2,2.38,17.68
VITT,liana,1,3,2.03,17.65
VITT,liana,1,3,2.03,17.65
VITT,liana,1,3,2.03,17.65
VITT,liana,1,3,2.03,17.65
VITT,liana,1,3,2.03,17.65
VITT,liana,1,3,2.03,17.65
VITT,liana,1,3,2.03,17.65
VITT,liana,1,4,2.11,19.97
VITT,liana,1,4,2.11,19.97
VITT,liana,1,4,2.11,19.97
VITT,liana,1,4,2.11,19.97
VITT,liana,1,4,2.11,19.97
VITT,liana,1,4,2.11,19.97
VITT,liana,1,4,2.11,19.97
VITT,liana,2,5,2.3,15.63
VITT,liana,2,5,2.3,15.63
VITT,liana,2,5,2.3,15.63
VITT,liana,2,5,2.3,15.63
VITT,liana,2,5,2.3,15.63
VITT,liana,2,6,2.25,15.08
VITT,liana,2,6,2.25,15.08
VITT,liana,2,6,2.25,15.08
VITT,liana,2,6,2.25,15.08
VITT,liana,2,6,2.25,15.08
VITT,liana,2,7,2.23,17.98
VITT,liana,2,7,2.23,17.98
VITT,liana,2,7,2.23,17.98
VITT,liana,2,7,2.23,17.98
VITT,liana,2,7,2.23,17.98
